city,lon0,lon1,lat0,lat1
Paris,1.875,2.625,48.6875,49.0625
Berlin,13.125,13.875,52.3125,52.6875
Athens,23.375,24.125,37.8125,38.1875
Budapest,18.625,19.375,47.3125,47.6875
Reykjavik,-22.375,-21.625,63.9375,64.3125
Dublin,-6.625,-5.875,53.1875,53.5625
Rome,12.125,12.875,41.6875,42.0625
Riga,23.625,24.375,56.8125,57.1875
Vilnius,24.875,25.625,54.4375,54.8125
Luxembourg,5.875,6.625,49.4375,49.8125
Valletta,14.125,14.875,35.6875,36.0625
Amsterdam,4.625,5.375,52.1875,52.5625
Rotterdam,4.125,4.875,51.6875,52.0625
Oslo,10.375,11.125,59.6875,60.0625
Warsaw,20.625,21.375,52.0625,52.4375
Lisbon,-9.625,-8.875,38.5625,38.9375
Bucharest,25.625,26.375,44.1875,44.5625
Bratislava,16.625,17.375,47.9375,48.3125
Ljubljana,14.125,14.875,45.8125,46.1875
Barcelona,1.875,2.625,41.1875,41.5625
Madrid,-4.125,-3.375,40.1875,40.5625
Stockholm,17.625,18.375,59.1875,59.5625
Bern,7.125,7.875,46.6875,47.0625
Zurich,8.125,8.875,47.1875,47.5625
London,-0.375,0.375,51.3125,51.6875
Milan,8.875,9.625,45.3125,45.6875
Lille,2.625,3.375,50.4375,50.8125
Lyon,4.375,5.125,45.5625,45.9375
Frankfurt,8.375,9.125,49.9375,50.3125
